"Date","Price","Open","High","Low","Vol.","Change %"
"09/24/2025","11.220","11.220","11.220","11.220","","-1.19%"
"09/23/2025","11.355","11.355","11.355","11.355","","0.75%"
"09/22/2025","11.270","11.270","11.270","11.270","","-0.84%"
"09/19/2025","11.365","11.365","11.365","11.365","","-1.39%"
"09/18/2025","11.525","11.525","11.525","11.525","","0.39%"
"09/17/2025","11.480","11.480","11.480","11.480","","0.26%"
"09/16/2025","11.450","11.450","11.450","11.450","","0.79%"
"09/15/2025","11.360","11.360","11.360","11.360","","0.04%"
"09/12/2025","11.355","11.355","11.355","11.355","","0.09%"
"09/11/2025","11.345","11.345","11.345","11.345","","0.09%"
"09/10/2025","11.335","11.335","11.335","11.335","","0.04%"
"09/09/2025","11.330","11.330","11.330","11.330","","-0.13%"
"09/08/2025","11.345","11.345","11.345","11.345","","0.40%"
"09/05/2025","11.300","11.300","11.300","11.300","","0.49%"
"09/04/2025","11.245","11.245","11.245","11.245","","0.18%"
"09/03/2025","11.225","11.225","11.225","11.225","","-0.18%"
"09/02/2025","11.245","11.245","11.245","11.245","","0.27%"
"08/29/2025","11.215","11.215","11.215","11.215","","0.09%"
"08/28/2025","11.205","11.205","11.205","11.205","","-0.93%"
"08/27/2025","11.310","11.310","11.310","11.310","","-1.57%"
"08/26/2025","11.490","11.490","11.490","11.490","","-0.52%"
"08/25/2025","11.550","11.550","11.550","11.550","","0.00%"
