"Date","Price","Open","High","Low","Vol.","Change %"
"10/02/2025","31.265","31.445","31.445","31.105","0.10K","-0.22%"
"10/01/2025","31.335","31.335","31.385","30.790","0.06K","-0.24%"
"09/30/2025","31.411","32.255","32.255","31.430","3.97K","-2.02%"
"09/29/2025","32.060","32.280","32.280","32.100","0.06K","-1.95%"
"09/26/2025","32.697","32.655","32.710","32.525","0.38K","0.74%"
"09/25/2025","32.456","32.405","32.565","32.350","0.08K","1.73%"
"09/24/2025","31.903","32.160","32.390","32.000","0.08K","-1.12%"
"09/23/2025","32.265","32.030","32.700","31.990","0.33K","1.32%"
"09/22/2025","31.844","32.100","32.200","31.765","0.19K","-1.44%"
"09/19/2025","32.308","32.660","32.965","32.170","2.11K","-1.95%"
"09/18/2025","32.952","32.555","33.035","32.545","2.38K","1.70%"
"09/17/2025","32.401","32.605","32.760","32.335","1.86K","0.22%"
"09/16/2025","32.329","31.910","32.450","31.910","5.07K","0.54%"
"09/15/2025","32.154","32.200","32.400","32.000","2.55K","-1.56%"
"09/12/2025","32.662","32.395","32.800","32.065","2.76K","1.05%"
"09/11/2025","32.323","32.510","32.590","32.310","3.10K","-2.41%"
"09/10/2025","33.122","33.240","33.420","33.005","3.91K","0.58%"
"09/09/2025","32.931","33.085","33.110","32.225","3.51K","-0.40%"
"09/08/2025","33.064","32.200","33.120","32.200","3.50K","3.43%"
"09/05/2025","31.969","32.520","32.705","31.910","6.17K","-1.37%"
"09/04/2025","32.412","31.840","32.605","31.840","6.65K","0.93%"
"09/03/2025","32.112","31.525","32.360","31.420","3.59K","1.07%"
"09/02/2025","31.772","32.200","32.625","31.665","4.13K","-1.56%"
"09/01/2025","32.275","32.275","32.285","31.880","0.08K","2.07%"
